postcode,lad_code,region_code
NG1 1PY,E06000018,E12000004
NG1 3FN,E06000018,E12000004
NG1 6AJ,E06000018,E12000004
NG1 6HQ,E06000018,E12000004
NG17 2JA,E07000170,E12000004
NG24 1SS,E07000175,E12000004
NG5 4FX,E07000173,E12000004
NG5 6BG,E07000173,E12000004
NG6 8BN,E06000018,E12000004
LE12 6NJ,E07000176,E12000004
NG16 1BQ,E07000172,E12000004
NG4 3JP,E07000173,E12000004
NG4 4QD,E07000173,E12000004
NG5 2FR,E06000018,E12000004
NG11 7AA,E06000018,E12000004
NG19 6NU,E07000174,E12000004
NG14 6EF,E07000173,E12000004
NG2 4AD,E06000018,E12000004
NG2 5DT,E07000176,E12000004
NG21 0DG,E07000174,E12000004
NG12 3DU,E07000176,E12000004
NG12 5RG,E07000176,E12000004
NG18 4GD,E07000174,E12000004
NG9 8DL,E07000172,E12000004
NG15 9HH,E07000173,E12000004
NG2 5LN,E07000176,E12000004
NG2 6HL,E07000176,E12000004
NG2 7JZ,E07000176,E12000004
NG20 0AG,E07000174,E12000004
NG11 7FF,E06000018,E12000004
NG9 3FW,E07000172,E12000004
NG9 7AY,E07000172,E12000004
NG17 1DW,E07000170,E12000004
NG22 0AD,E07000175,E12000004
NG24 1TZ,E07000175,E12000004
NG5 1DZ,E06000018,E12000004
NG5 2BE,E06000018,E12000004
NG5 2EH,E06000018,E12000004
NG9 3JW,E07000172,E12000004
NG12 4DG,E07000176,E12000004
NG18 2AE,E07000174,E12000004
NG18 3FS,E07000174,E12000004
NG1 3AP,E06000018,E12000004
NG1 5BQ,E06000018,E12000004
NG2 4FS,E06000018,E12000004
NG9 4FH,E07000172,E12000004
NG11 6SF,E07000176,E12000004
NG12 1AU,E07000176,E12000004
NG13 8LE,E07000176,E12000004
NG13 9DL,E07000176,E12000004
NG1 5BS,E06000018,E12000004
NG1 6EE,E06000018,E12000004
NG1 6FG,E06000018,E12000004
NG16 5FX,E07000170,E12000004
NG17 7AB,E07000170,E12000004
NG17 7QL,E07000170,E12000004
NG18 1BN,E07000174,E12000004
NG23 6QS,E07000175,E12000004
NG9 7JQ,E07000172,E12000004
S80 1JA,E07000171,E12000004
LE12 6HD,E07000176,E12000004
NG11 6NL,E07000176,E12000004
NG13 8BQ,E07000176,E12000004
NG19 8EX,E07000174,E12000004
NG11 6FU,E07000176,E12000004
NG14 6DG,E07000173,E12000004
NG7 1FN,E06000018,E12000004
NG7 5EH,E06000018,E12000004
NG8 6PY,E06000018,E12000004
NG17 2JQ,E07000170,E12000004
NG4 3JJ,E07000173,E12000004
NG5 1NL,E06000018,E12000004
NG9 1ES,E07000172,E12000004
NG9 5BE,E07000172,E12000004
NG13 8PE,E07000176,E12000004
NG1 2AS,E06000018,E12000004
NG15 7AW,E07000170,E12000004
NG15 7LD,E07000170,E12000004
NG15 8BN,E07000170,E12000004
NG2 3DR,E06000018,E12000004
NG2 4BG,E06000018,E12000004
NG2 6PS,E07000176,E12000004
NG7 1BB,E06000018,E12000004
NG7 2AU,E06000018,E12000004
NG7 3HG,E06000018,E12000004
NG7 5NN,E06000018,E12000004
NG7 6AQ,E06000018,E12000004
NG7 6LL,E06000018,E12000004
NG8 1FW,E06000018,E12000004
NG8 2NR,E06000018,E12000004
NG8 6GQ,E06000018,E12000004
NG2 7JQ,E07000176,E12000004
NG7 1DX,E06000018,E12000004
